variant,doors,policy,iterations,exact_p,mae,rmse,q10,q50,q90
classic,20,Random Switch,1000,0.05277777777777778,0.005546388888888889,0.006843828886461182,0.044,0.052,0.061
classic,20,Random Switch,3000,0.05277777777777778,0.003323611111111111,0.004196276274019769,0.04733333333333333,0.052500000000000005,0.058033333333333346
classic,20,Random Switch,10000,0.05277777777777778,0.0018281944444444441,0.0022906978423481066,0.05,0.053,0.0558
classic,20,Random Switch,30000,0.05277777777777778,0.0009590833333333335,0.0012309753485110803,0.05119666666666667,0.05273333333333333,0.054266666666666664
classic,20,Random Switch,100000,0.05277777777777778,0.0005773,0.0007141202781079237,0.05187,0.05287,0.053711
classic,100,Stick,10,0.01,0.017300000000000003,0.030331501776206204,0.0,0.0,0.0
classic,100,Stick,30,0.01,0.014666666666666668,0.018135294011647256,0.0,0.0,0.03333333333333333
classic,100,Stick,100,0.01,0.0069500000000000004,0.00946044396421225,0.0,0.01,0.02
classic,100,Stick,300,0.01,0.004533333333333334,0.005783117190965824,0.0033333333333333335,0.01,0.016666666666666666
classic,100,Stick,1000,0.01,0.002415,0.0029841246622753547,0.006,0.01,0.014
classic,100,Stick,3000,0.01,0.0014024999999999999,0.0017324516988617286,0.007666666666666666,0.01,0.012
classic,100,Stick,10000,0.01,0.0007877500000000001,0.0009852791482620547,0.0087,0.01,0.0112
classic,100,Stick,30000,0.01,0.00046875,0.0005945423076245756,0.009263333333333333,0.01,0.010766666666666667
classic,100,Stick,100000,0.01,0.00025059999999999997,0.0003153260217616047,0.00957,0.01,0.0104
classic,100,Random Switch,10,0.01010204081632653,0.016387244897959185,0.028643840454828436,0.0,0.0,0.0
classic,100,Random Switch,30,0.01010204081632653,0.01493231292517007,0.018588947282754637,0.0,0.0,0.03333333333333333
classic,100,Random Switch,100,0.01010204081632653,0.007544387755102041,0.010242976891192457,0.0,0.01,0.02
classic,100,Random Switch,300,0.01010204081632653,0.00442687074829932,0.0056211843872531145,0.0033333333333333335,0.01,0.016666666666666666
classic,100,Random Switch,1000,0.01010204081632653,0.0025687755102040822,0.0032595705366349455,0.006,0.01,0.014
classic,100,Random Switch,3000,0.01010204081632653,0.001478673469387755,0.0018668864282291881,0.008,0.01,0.012666666666666666
classic,100,Random Switch,10000,0.01010204081632653,0.0007646989795918368,0.000955481277186386,0.0089,0.0102,0.0113
classic,100,Random Switch,30000,0.01010204081632653,0.00046172789115646264,0.0005753766128058489,0.009366666666666667,0.0101,0.010836666666666668
classic,100,Random Switch,100000,0.01010204081632653,0.00023941683673469382,0.00031056345539879254,0.009718,0.01009,0.01048
banana,3,Stick,10,0.3333333333333333,0.12133333333333333,0.14824903971958056,0.19000000000000059,0.3,0.5
